Domain,Program,Target,SD
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Maintain eye contact for 1 second,Look at my eyes for 1 second when prompted.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Maintain eye contact for 3 seconds,Keep your eyes on me for 3 seconds.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Maintain eye contact during greeting,Look at my eyes during greeting.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Alternate gaze between objects and caregiver,"Look at the object then at me, repeatedly."
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Follow a moving face,Keep your gaze on my moving face.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Respond to a smile with eye contact,Make eye contact when you see a smile.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Increase duration of eye contact gradually,Maintain eye contact for 5 seconds when I prompt.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Look towards a person speaking,Focus your gaze on the speaker.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Shift gaze when called,"When I call your name, look at me."
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Monitor eye contact during play,Maintain eye contact during play for at least 2 seconds.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Recognize caregiver's facial expressions,Look at my face when I show emotion.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Respond to a raised eyebrow,Look at my face when I raise my eyebrow.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Use eye contact to signal interest,Maintain eye contact to show you are interested.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Follow eye contact with a smile,"After making eye contact, smile."
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Initiate eye contact when wanting interaction,Look at me when you want to play.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Respond to a direct gaze,"When I look directly at you, maintain eye contact."
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Respond to subtle eye cues,Notice and respond to slight changes in my gaze.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Maintain eye contact during a brief conversation,Keep looking at me during a short exchange.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Shift gaze appropriately during group play,Look at the speaker during group play.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Smile responsively,"When greeted, show a smile."
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Smile spontaneously during play,Smile naturally while playing.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Mimic a smile,Copy a smiling face.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Show a happy expression when given a compliment,Smile when I say 'good job'.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Use a frown to express displeasure,Frown when something is not right.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Match facial expression to emotion,Look at a picture and mimic the emotion.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Express excitement with wide eyes,Show excitement when a toy is presented.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Display surprise appropriately,Raise your eyebrows when surprised.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Show a neutral expression when calm,Keep a relaxed face when undisturbed.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Express contentment with a soft smile,Smile gently when satisfied.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,React with a big smile to a favorite activity,Smile broadly when your favorite song plays.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Use a smirk to indicate playfulness,Give a playful smirk when engaged in a game.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Use a sad face to indicate displeasure,Show a sad face when disappointed.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Maintain a smile for at least 2 seconds,Keep smiling for 2 seconds when asked.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Transition from a smile to a neutral expression,Shift from smiling to a neutral face when requested.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Express laughter by smiling and showing teeth,Laugh with a smile when something is funny.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Mimic an exaggerated happy face,Copy the happy expression I model.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Show a reluctant smile when uncertain,Give a small smile when unsure.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Express empathy with a gentle smile,Smile softly when someone is upset.
Social & Emotional & Engagement Skills,Social Smiling & Facial Expressions,Use facial expressions to greet peers,Smile and wave when greeting a peer.
Social & Emotional & Engagement Skills,Joint Attention,Respond to pointing by looking at object,"When I point, look at the object."
Social & Emotional & Engagement Skills,Joint Attention,Initiate joint attention by showing object to caregiver,Bring your toy to me.
Social & Emotional & Engagement Skills,Joint Attention,Alternate gaze between caregiver and object,"Look at the object, then me, repeatedly."
Social & Emotional & Engagement Skills,Joint Attention,Follow caregiver's gaze to an object,Look where I look.
Social & Emotional & Engagement Skills,Joint Attention,Respond to a verbal cue for joint attention,"When I say 'look', share attention."
Social & Emotional & Engagement Skills,Joint Attention,Maintain joint attention for 2 seconds,Keep looking at the object and me for 2 seconds.
Social & Emotional & Engagement Skills,Joint Attention,Initiate joint attention using gestures,Point to the object to show interest.
Social & Emotional & Engagement Skills,Joint Attention,Respond to joint attention request during play,Look at the toy when I request joint attention.
Social & Emotional & Engagement Skills,Joint Attention,Share interest in a new object,Look at the new toy when introduced.
Social & Emotional & Engagement Skills,Joint Attention,Follow joint attention with a smile,Smile after establishing joint attention.
Social & Emotional & Engagement Skills,Joint Attention,Use joint attention to indicate desire for interaction,Point to the object then look at me.
Social & Emotional & Engagement Skills,Joint Attention,Engage in joint attention during a song,Look at me and the object during singing.
Social & Emotional & Engagement Skills,Joint Attention,Switch focus between two objects on request,Look at the two objects as I direct.
Social & Emotional & Engagement Skills,Joint Attention,Initiate joint attention with a vocalization,Say a sound and look at the object.
Social & Emotional & Engagement Skills,Joint Attention,Share enjoyment during joint attention,Laugh when we both look at the toy.
Social & Emotional & Engagement Skills,Joint Attention,Maintain joint attention despite distractions,Keep focus on me and the object even if noise is present.
Social & Emotional & Engagement Skills,Joint Attention,Use joint attention to learn new words,Look at the picture when I say its name.
Social & Emotional & Engagement Skills,Joint Attention,Follow caregiver's eye movement to establish joint attention,Watch my eyes as I look at something.
Social & Emotional & Engagement Skills,Joint Attention,Use joint attention to express interest in a book,Look between me and the book when reading.
Social & Emotional & Engagement Skills,Joint Attention,Maintain joint attention during a shared activity,Keep looking at each other during play.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a wave,"When I wave, wave back."
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a clap,Clap when I clap.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a nod,Nod your head when I nod.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a head shake,Shake your head when I shake mine.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a thumbs-up,Show a thumbs-up when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a thumbs-down,Show a thumbs-down when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a high-five,Give a high-five when I raise my hand.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a fist bump,Give a fist bump when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a peace sign,Show a peace sign when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a 'come here' gesture,Wave your hand as I signal 'come here.'
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a 'stop' gesture,Hold up your hand when I show 'stop.'
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate an open-hand gesture,Open your hand when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a closed-fist gesture,Make a fist when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a pointing gesture,Point when I point.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a waving goodbye,Wave goodbye when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a celebratory jump,Jump when I jump.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a gentle pat on the back,Pat your hand on your own back when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a head tilt,Tilt your head when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a cheek rub,Rub your cheek when I do it.
Social & Emotional & Engagement Skills,Imitation of Social Gestures,Imitate a smile gesture,Smile when I smile.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Respond to 'hello' with 'hello',"When I say 'hello', say 'hello'."
Social & Emotional & Engagement Skills,Greeting & Social Routines,Wave hello,Wave your hand when greeting.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Say 'good morning',"When prompted, say 'good morning.'"
Social & Emotional & Engagement Skills,Greeting & Social Routines,Say 'goodbye',Say 'goodbye' when leaving.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Participate in a greeting routine,Follow the greeting routine when we meet.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Engage in a farewell routine,Follow the goodbye routine when leaving.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Respond to a smile with a greeting,Smile and say 'hi' when greeted.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Initiate a greeting,Say 'hello' when you see someone.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Use a hand wave for greeting,Wave your hand when saying 'hello.'
Social & Emotional & Engagement Skills,Greeting & Social Routines,Engage in a group greeting,Participate in a group 'hello' routine.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Use a cheerful tone when greeting,Say 'hello' in a happy voice.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Acknowledge greeting with eye contact,Look at the person when they greet you.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Mimic a greeting modeled by caregiver,Copy my greeting behavior.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Respond to a 'welcome',Say 'thank you' when welcomed.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Exchange a greeting with a peer,Say 'hi' to your friend.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Respond to a verbal greeting,Answer 'hello' when I say it.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Use sign for greeting,Use the sign for 'hello' when appropriate.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Combine gesture and vocal greeting,Wave and say 'hi' simultaneously.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Maintain a greeting exchange for 3 turns,Exchange 3 greetings in a row.
Social & Emotional & Engagement Skills,Greeting & Social Routines,Conclude a greeting exchange politely,End the greeting with a wave.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Play quietly alongside a peer,Sit next to a peer while playing with your own toys.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Maintain a safe distance during parallel play,Keep a comfortable space between you and your peer.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Share space with a peer during play,Play near a peer without interfering.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Engage in similar activities as a peer,Play with blocks while your peer plays with blocks.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Demonstrate independent play in shared space,Play independently while sitting near others.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Use own toys during parallel play,Focus on your own toys while near a peer.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Observe peer's play without interruption,Watch your peer play quietly.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Engage in intermittent glances during play,Occasionally look at your peer during play.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Sit close to a peer during a calm activity,Sit near a friend during story time.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Play at a table with peers,Sit at the table and play with your own materials.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Initiate minimal interaction during play,Smile at a peer while playing.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Respond to a peer's smile during play,Smile back when a peer smiles.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Participate in simple turn-taking within parallel play,Wait your turn when sharing a toy.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Maintain focus on your activity during peer play,Keep playing with your toy even if your peer is nearby.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Occasionally join a peer in the same activity,Briefly join your peer in their activity.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Observe and mimic a peer’s simple actions,Copy a simple action your peer does.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Show interest in a peer's activity,Look at a peer's toy when they use it.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Transition from parallel play to interactive play,Move closer and share a toy with a peer.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Maintain calm during shared play time,Stay calm when playing next to a peer.
Social & Emotional & Engagement Skills,Parallel Play & Emergent Interactive Play,Demonstrate turn-taking in a shared activity,Alternate turns when using a toy.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Wait for your turn,Wait silently for your turn when playing a game.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Take turns in a ball toss,Alternate tossing the ball with a peer.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Exchange turns in a simple game,Take your turn and then wait for the next.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Use a visual cue to indicate turn,Look for the visual signal before playing.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Express readiness for turn verbally,Say 'my turn' when ready.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Follow a predetermined turn order,Play in the order given by the caregiver.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Count turns during play,Count aloud the turns during a game.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Wait for a timer to indicate turn,Wait until the timer signals your turn.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Signal turn-taking with a gesture,Raise your hand when you want a turn.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Demonstrate patience during turn exchange,Wait patiently until your turn arrives.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Use a song to structure turn-taking,Sing a short song during turn exchange.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Imitate a peer's turn-taking behavior,Copy a peer's waiting behavior.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Alternate turns consistently during play,Ensure you alternate turns with a partner.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Wait until the peer finishes their turn,Observe the peer until they finish.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Respond to a verbal cue to take turn,"When I say 'your turn', take your turn."
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Count silently during turn waiting,Count in your head until your turn.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Display excitement when turn arrives,Show excitement when it's your turn.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Use a gesture to signal end of turn,Wave when you finish your turn.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Initiate turn-taking with a peer,Offer the toy to a peer after your turn.
Social & Emotional & Engagement Skills,Turn-Taking in Social Games,Maintain calm during waiting period,Stay calm while waiting for your turn.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Identify a happy face,Point to the happy face when shown.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Identify a sad face,Point to the sad face when shown.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Identify an angry face,Point to the angry face when shown.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Identify a surprised face,Point to the surprised face when shown.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Match facial expression to verbal emotion,Point to the face that matches 'happy'.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Express happiness verbally,Say 'happy' when you feel good.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Express sadness verbally,Say 'sad' when feeling down.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Use facial expression to show anger,Make an angry face when frustrated.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Show a surprised expression,Open your eyes wide when surprised.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Change facial expression in response to emotion cues,Mimic the facial expression shown.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Identify a calm face,Point to a calm face when shown.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Express contentment with a soft smile,Smile gently when feeling content.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Identify a fearful face,Point to the fearful face when shown.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Express excitement with facial cues,Show excitement by widening your eyes and smiling.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Differentiate between similar emotions (happy vs. excited),Point to the correct face when I say 'excited.'
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Identify emotion in a storybook picture,Point to the face that shows the emotion in the book.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Use emotion words to label expressions,Say the emotion word when shown the face.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Express a mild frown when displeased,Frown slightly when something is not right.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Express empathy by mirroring emotion,Mimic my facial expression when I show emotion.
Social & Emotional & Engagement Skills,Emotion Recognition & Expression,Identify a neutral expression,Point to the neutral face when prompted.
Social & Emotional & Engagement Skills,Emerging Empathy,Offer comfort to a distressed peer,Approach and offer a hug when someone is upset.
Social & Emotional & Engagement Skills,Emerging Empathy,Respond with a supportive gesture,Pat a peer’s shoulder when they appear sad.
Social & Emotional & Engagement Skills,Emerging Empathy,Show concern with facial expression,Frown gently when you see someone upset.
Social & Emotional & Engagement Skills,Emerging Empathy,Verbalize concern for another,Say 'Are you okay?' when you see distress.
Social & Emotional & Engagement Skills,Emerging Empathy,Mimic a comforting action,Copy a caregiver's comforting gesture.
Social & Emotional & Engagement Skills,Emerging Empathy,Offer a comforting object,Give a soft toy when someone is sad.
Social & Emotional & Engagement Skills,Emerging Empathy,Demonstrate empathy by sharing,Offer to share your toy when someone is upset.
Social & Emotional & Engagement Skills,Emerging Empathy,Show empathy by sitting close,Sit near a distressed peer for comfort.
Social & Emotional & Engagement Skills,Emerging Empathy,Express empathy through a gentle touch,Touch a peer’s hand softly when they cry.
Social & Emotional & Engagement Skills,Emerging Empathy,Show awareness of others' feelings,Look at a peer when they are sad.
Social & Emotional & Engagement Skills,Emerging Empathy,Offer to help a distressed peer,Ask 'Do you need help?' when someone is upset.
Social & Emotional & Engagement Skills,Emerging Empathy,Share a smile to cheer someone up,Smile warmly at a peer who is sad.
Social & Emotional & Engagement Skills,Emerging Empathy,React to a peer's tears with care,Look concerned and approach a crying peer.
Social & Emotional & Engagement Skills,Emerging Empathy,Mimic a caregiver’s comforting tone,Use a soft voice when comforting someone.
Social & Emotional & Engagement Skills,Emerging Empathy,Offer physical proximity to comfort,Move closer to a peer when they are distressed.
Social & Emotional & Engagement Skills,Emerging Empathy,Acknowledge a peer’s distress verbally,Say 'I’m here for you' when someone cries.
Social & Emotional & Engagement Skills,Emerging Empathy,Use a sign for 'I'm sorry' when someone is upset,Sign 'sorry' when appropriate.
Social & Emotional & Engagement Skills,Emerging Empathy,Express concern nonverbally,Show a concerned look when a peer is sad.
Social & Emotional & Engagement Skills,Emerging Empathy,Respond with a caring gesture,Offer a hand or hug when someone is upset.
Social & Emotional & Engagement Skills,Emerging Empathy,Offer a supportive nod when a peer shares feelings,Nod gently when a peer expresses sadness.
Social & Emotional & Engagement Skills,Social Initiation,Initiate greeting with a caregiver,Say 'hi' when you see me.
Social & Emotional & Engagement Skills,Social Initiation,Approach a peer for interaction,Walk towards a peer when you want to play.
Social & Emotional & Engagement Skills,Social Initiation,Use a simple phrase to start interaction,Say 'let's play' when approaching a peer.
Social & Emotional & Engagement Skills,Social Initiation,Initiate contact with a smile,Smile at a peer to show interest in playing.
Social & Emotional & Engagement Skills,Social Initiation,Raise your hand to signal desire to interact,Raise your hand when you want attention.
Social & Emotional & Engagement Skills,Social Initiation,Use a sign to request interaction,Sign 'play' when you want to interact.
Social & Emotional & Engagement Skills,Social Initiation,Approach a caregiver to show a toy,Bring a toy to a caregiver to initiate play.
Social & Emotional & Engagement Skills,Social Initiation,Initiate a turn-taking game,Offer a toy to a peer to start a game.
Social & Emotional & Engagement Skills,Social Initiation,Use a gesture to invite interaction,Wave at a peer to invite play.
Social & Emotional & Engagement Skills,Social Initiation,Initiate a high-five with a peer,Extend your hand for a high-five when you see a peer.
Social & Emotional & Engagement Skills,Social Initiation,Initiate an interactive song,Start singing a simple song to a peer.
Social & Emotional & Engagement Skills,Social Initiation,Use a vocalization to attract attention,Say 'hey' to get a peer's attention.
Social & Emotional & Engagement Skills,Social Initiation,Approach a peer with a toy to share,Hold out a toy when approaching a peer.
Social & Emotional & Engagement Skills,Social Initiation,Use a question to start interaction,Ask 'play?' when you see a peer.
Social & Emotional & Engagement Skills,Social Initiation,Initiate a simple game,Say 'let's go' when ready to start playing.
Social & Emotional & Engagement Skills,Social Initiation,Use eye contact to initiate interaction,Look directly at a peer to show interest in talking.
Social & Emotional & Engagement Skills,Social Initiation,Use a gesture and vocalization combined,Wave and say 'hi' to initiate interaction.
Social & Emotional & Engagement Skills,Social Initiation,Initiate a group activity,Encourage others to join by saying 'come on!'
Social & Emotional & Engagement Skills,Social Initiation,Initiate interaction during a transition,Say 'let's play' when moving to a new activity.
Social & Emotional & Engagement Skills,Social Initiation,Initiate a farewell interaction,Say 'bye' and wave when leaving a group.
Play & Imitation Skills,Sensory Exploration Play,Explore a toy using hands and mouth,Touch and explore this toy with your hands and mouth.
Play & Imitation Skills,Sensory Exploration Play,Examine texture of a soft object,Feel this soft blanket and tell me how it feels.
Play & Imitation Skills,Sensory Exploration Play,Explore a bumpy toy,Run your fingers over this bumpy toy.
Play & Imitation Skills,Sensory Exploration Play,Investigate a shiny object,Look at the shiny toy and touch it gently.
Play & Imitation Skills,Sensory Exploration Play,Reach for a colorful object,Extend your hand to grab the colorful ball.
Play & Imitation Skills,Sensory Exploration Play,Explore an object with varied surfaces,Feel both the rough and smooth parts of this toy.
Play & Imitation Skills,Sensory Exploration Play,Look at an object closely,Focus on the details of this picture book.
Play & Imitation Skills,Sensory Exploration Play,Compare two different textures,Feel these two fabrics and show which is softer.
Play & Imitation Skills,Sensory Exploration Play,Explore an object by mouthing it,Gently mouth the edge of this toy under supervision.
Play & Imitation Skills,Sensory Exploration Play,Experiment with sound by shaking an object,Shake this rattle and listen to its sound.
Play & Imitation Skills,Functional Play,Use a toy car as intended,Push the car along the floor.
Play & Imitation Skills,Functional Play,Roll a ball across the floor,Roll the ball straight to me.
Play & Imitation Skills,Functional Play,Stack blocks to build a tower,Stack these blocks as high as you can.
Play & Imitation Skills,Functional Play,Drop blocks into a container,Put the blocks into the container one by one.
Play & Imitation Skills,Functional Play,Squeeze a soft toy,Squeeze this plush toy gently.
Play & Imitation Skills,Functional Play,Press a button on an electronic toy,Press the button to make the toy light up.
Play & Imitation Skills,Functional Play,Pull a toy on wheels,Pull this toy car towards you.
Play & Imitation Skills,Functional Play,Push a cart along a path,Push the cart along the marked path.
Play & Imitation Skills,Functional Play,Use a toy as a phone,Pretend to talk on this toy phone.
Play & Imitation Skills,Functional Play,Place a puzzle piece in its slot,Fit the puzzle piece into the correct space.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Activate a toy by pressing a button,Press the button to make the toy sound.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Pull a lever to open a door on a toy,Pull the lever and watch the door open.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Rotate a knob to change a light,Turn the knob to change the color of the light.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Shake a rattle to produce noise,Shake the rattle and listen to the sound.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Slide a block along a track,Slide the block slowly along the track.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Press a sensor-activated toy,Touch the sensor to activate the toy.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Drop an object to see it fall,Let go of the ball and watch it drop.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Cause a toy to light up by touching it,Touch the toy and see it light up.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Turn a dial to produce a sound,Rotate the dial to hear the sound change.
Play & Imitation Skills,Object Manipulation & Cause‑Effect Play,Push a button repeatedly to observe effects,Keep pressing the button until you see a reaction.
Play & Imitation Skills,Motor Imitation in Play,Imitate clapping,Clap your hands just like I do.
Play & Imitation Skills,Motor Imitation in Play,Imitate waving,Wave your hand when I wave.
Play & Imitation Skills,Motor Imitation in Play,Imitate jumping,Jump in place after I jump.
Play & Imitation Skills,Motor Imitation in Play,Imitate tapping a drum,Tap your hands like you’re playing a drum.
Play & Imitation Skills,Motor Imitation in Play,Imitate stomping,Stomp your feet when I stomp.
Play & Imitation Skills,Motor Imitation in Play,Imitate a rolling motion,Roll your arms like a rolling pin.
Play & Imitation Skills,Motor Imitation in Play,Imitate a gentle swaying movement,Sway your body slowly like I do.
Play & Imitation Skills,Motor Imitation in Play,Imitate a reaching movement,Reach out your arm when I reach out.
Play & Imitation Skills,Motor Imitation in Play,Imitate a waving goodbye,Wave your hand to say goodbye after I do.
Play & Imitation Skills,Motor Imitation in Play,Imitate a playful jump,Jump playfully when I jump.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a stacking action,Stack the blocks the same way I just did.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a rolling action with a toy car,Roll the toy car just as I showed you.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a turning action with a knob,Turn the knob like I just did.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a sound-making action,Press the button to make the sound just like me.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a simple dance movement,Move your arms as I move mine.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a facial expression during play,Make a happy face like I do.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a hand clap sequence,Clap your hands in the pattern I model.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a turn-taking action,Hand over the toy just like I showed.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a reaching for a toy,Reach for the toy the same way I reached.
Play & Imitation Skills,Imitative Play with Caregivers,Copy a waving action during goodbye,Wave just as I wave goodbye.
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to feed a doll,Bring the spoon to the doll’s mouth.
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to drink from a cup,Lift the cup to your lips as if drinking.
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to talk on a phone,Hold the toy phone and say 'hello.'
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to drive a car,Sit in the toy car and mimic driving.
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to cook using play food,Stir the play food in the pot.
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to read a book,Open the book and point to the pictures.
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to brush hair,Move the brush through your hair like brushing.
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to sleep,Lie down and close your eyes when I say 'sleep.'
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to talk to a pet,Mimic petting and talking to an animal.
Play & Imitation Skills,Emerging Symbolic (Pretend) Play,Pretend to sing a song,Sing softly as if you’re performing.
Play & Imitation Skills,Structured Play Routines,Complete a block-stacking routine,Stack the blocks in the sequence we practiced.
